race,t_pre,t_2026,delta,had_sc,n_sc_laps
116,5114.001018407243,5113.201018407243,0.7999999999992724,True,2
117,5021.85245306389,5021.85245306389,0.0,False,0
118,5058.880343931021,5058.480343931022,0.3999999999996362,True,1
119,5021.85245306389,5021.85245306389,0.0,False,0
120,5021.85245306389,5021.85245306389,0.0,False,0
121,5021.85245306389,5021.85245306389,0.0,False,0
122,5183.163765702375,5182.763765702375,0.3999999999996362,True,3
123,5264.943935879333,5262.943935879334,1.9999999999990905,True,5
124,5394.577769778518,5392.9777697785175,1.6000000000003638,True,7
125,5075.820319248915,5075.420319248916,0.3999999999996362,True,1
126,5263.252899782429,5261.652899782429,1.6000000000003638,True,5
127,5021.85245306389,5021.85245306389,0.0,False,0
128,5021.85245306389,5021.85245306389,0.0,False,0
129,5021.85245306389,5021.85245306389,0.0,False,0
130,5179.247536656607,5178.447536656607,0.8000000000001819,True,3
131,5021.85245306389,5021.85245306389,0.0,False,0
132,5391.264037509021,5388.464037509023,2.799999999998363,True,7
133,5130.728806261368,5130.728806261368,0.0,True,2
134,5021.85245306389,5021.85245306389,0.0,False,0
135,5021.85245306389,5021.85245306389,0.0,False,0
136,5262.336237823663,5260.736237823664,1.5999999999994543,True,5
137,5021.85245306389,5021.85245306389,0.0,False,0
138,5021.85245306389,5021.85245306389,0.0,False,0
139,5219.194806900384,5217.594806900384,1.5999999999994543,True,4
140,5183.163765702375,5182.763765702375,0.3999999999996362,True,3
141,5074.71574182575,5074.315741825751,0.3999999999996362,True,1
142,5021.85245306389,5021.85245306389,0.0,False,0
143,5021.85245306389,5021.85245306389,0.0,False,0
144,5021.85245306389,5021.85245306389,0.0,False,0
145,5282.018927681348,5280.418927681348,1.6000000000003638,True,5
146,5021.85245306389,5021.85245306389,0.0,False,0
147,5075.920735378294,5075.520735378294,0.3999999999996362,True,1
148,5021.85245306389,5021.85245306389,0.0,False,0
149,5499.707213043847,5499.307213043847,0.4000000000005457,True,9
150,5179.046704397849,5177.84670439785,1.1999999999989086,True,3
151,5124.904670757406,5124.104670757406,0.8000000000001819,True,2
152,5127.61590625063,5126.815906250631,0.7999999999992724,True,2
153,5109.289424186509,5108.489424186509,0.8000000000001819,True,2
154,5021.85245306389,5021.85245306389,0.0,False,0
155,5021.85245306389,5021.85245306389,0.0,False,0
156,5547.626019696333,5546.026019696334,1.5999999999994543,True,10
157,5169.1953104153445,5168.395310415344,0.8000000000001819,True,3
158,5021.85245306389,5021.85245306389,0.0,False,0
159,5021.85245306389,5021.85245306389,0.0,False,0
160,5021.85245306389,5021.85245306389,0.0,False,0
161,5286.537653503387,5284.937653503386,1.6000000000012733,True,5
162,5021.85245306389,5021.85245306389,0.0,False,0
163,5420.795055400827,5418.395055400826,2.4000000000005457,True,8
164,5234.93268790075,5233.332687900751,1.5999999999994543,True,4
165,5021.85245306389,5021.85245306389,0.0,False,0
166,5021.85245306389,5021.85245306389,0.0,False,0
167,5021.85245306389,5021.85245306389,0.0,False,0
168,5074.816157955129,5074.416157955129,0.3999999999996362,True,1
169,5184.770423772433,5184.370423772432,0.4000000000005457,True,3
170,5543.006877744915,5540.6068777449145,2.4000000000005457,True,10
171,5021.85245306389,5021.85245306389,0.0,False,0
172,5466.59233944316,5464.592339443161,1.9999999999990905,True,9
173,5530.79127501165,5528.391275011651,2.399999999999636,True,10
174,5552.044329388995,5549.244329388994,2.8000000000010914,True,10
175,5617.768114031747,5616.168114031747,1.6000000000003638,True,12
176,5058.583421869909,5058.18342186991,0.3999999999996362,True,1
177,5602.063058640933,5598.8630586409345,3.1999999999989086,True,11
178,5178.544623750956,5177.344623750956,1.199999999999818,True,3
179,5211.469819331861,5209.8698193318605,1.6000000000003638,True,4
180,5021.85245306389,5021.85245306389,0.0,False,0
181,5117.0851796517745,5116.285179651775,0.7999999999992724,True,2
182,5021.85245306389,5021.85245306389,0.0,False,0
183,5021.85245306389,5021.85245306389,0.0,False,0
184,5021.85245306389,5021.85245306389,0.0,False,0
185,5021.85245306389,5021.85245306389,0.0,False,0
186,5021.85245306389,5021.85245306389,0.0,False,0
187,5021.85245306389,5021.85245306389,0.0,False,0
188,5021.85245306389,5021.85245306389,0.0,False,0
189,5021.85245306389,5021.85245306389,0.0,False,0
190,5021.85245306389,5021.85245306389,0.0,False,0
191,5336.874085087122,5335.274085087121,1.6000000000003638,True,6
192,5021.85245306389,5021.85245306389,0.0,False,0
193,5021.85245306389,5021.85245306389,0.0,False,0
194,5021.85245306389,5021.85245306389,0.0,False,0
195,5238.949333075896,5238.549333075895,0.4000000000005457,True,4
196,5021.85245306389,5021.85245306389,0.0,False,0
197,5021.85245306389,5021.85245306389,0.0,False,0
198,5058.608667626313,5058.208667626313,0.3999999999996362,True,1
199,5021.85245306389,5021.85245306389,0.0,False,0
200,5021.85245306389,5021.85245306389,0.0,False,0
201,5997.948055279353,5996.348055279353,1.6000000000003638,True,19
202,5021.85245306389,5021.85245306389,0.0,False,0
203,5074.615325696372,5074.215325696372,0.3999999999996362,True,1
204,5075.418654731401,5075.018654731401,0.4000000000005457,True,1
205,5021.85245306389,5021.85245306389,0.0,False,0
206,5498.4474951424445,5494.847495142444,3.600000000000364,True,9
207,5021.85245306389,5021.85245306389,0.0,False,0
208,5315.698485924242,5313.298485924242,2.399999999999636,True,6
209,5021.85245306389,5021.85245306389,0.0,False,0
210,5021.85245306389,5021.85245306389,0.0,False,0
211,5021.85245306389,5021.85245306389,0.0,False,0
212,5021.85245306389,5021.85245306389,0.0,False,0
213,5075.318238602023,5074.918238602023,0.3999999999996362,True,1
214,5334.464097982034,5332.864097982034,1.6000000000003638,True,6
215,5318.3760477491505,5316.77604774915,1.6000000000003638,True,6
216,5021.85245306389,5021.85245306389,0.0,False,0
217,5233.426445960069,5231.826445960069,1.6000000000003638,True,4
218,5021.85245306389,5021.85245306389,0.0,False,0
219,5573.868423690994,5571.068423690993,2.8000000000010914,True,11
220,5021.85245306389,5021.85245306389,0.0,False,0
221,5556.663471340414,5555.063471340412,1.6000000000012733,True,10
222,5021.85245306389,5021.85245306389,0.0,False,0
223,5021.85245306389,5021.85245306389,0.0,False,0
224,5073.309916014449,5072.909916014449,0.4000000000005457,True,1
225,5021.85245306389,5021.85245306389,0.0,False,0
226,5021.85245306389,5021.85245306389,0.0,False,0
227,5021.85245306389,5021.85245306389,0.0,False,0
228,5338.882407674695,5336.482407674693,2.4000000000023647,True,6
229,5162.162823891942,5160.962823891942,1.199999999999818,True,3
