race,t_adaptive,t_fixed
346,5128.924644967582,5129.724644967582
347,5021.85245306389,5021.85245306389
348,5021.85245306389,5021.85245306389
349,5021.85245306389,5021.85245306389
350,5108.6873913238505,5123.169883941693
351,5076.322399895808,5076.322399895808
352,5452.222907556099,5453.422907556098
353,5210.852328607341,5211.062897001441
354,5021.85245306389,5021.85245306389
355,5108.242240163887,5125.28204033143
356,5021.85245306389,5021.85245306389
357,5128.522980450067,5129.322980450067
358,5021.85245306389,5021.85245306389
359,5290.860540619214,5292.0605406192135
360,5616.0471742860755,5628.797134791941
361,5331.056607653218,5332.656607653218
362,5609.299678026256,5610.899678026256
363,5176.340462457169,5177.54046245717
364,5021.85245306389,5021.85245306389
365,5021.85245306389,5021.85245306389
366,5400.704818188131,5401.104818188131
367,5416.709122347949,5419.50825384433
368,5021.85245306389,5021.85245306389
369,5021.85245306389,5021.85245306389
370,5492.830849967298,5494.430849967296
371,5326.566916494366,5328.078035720032
372,5021.85245306389,5021.85245306389
373,5073.512412790721,5073.912412790722
374,5021.85245306389,5021.85245306389
375,5021.85245306389,5021.85245306389
376,5021.85245306389,5021.85245306389
377,5021.85245306389,5021.85245306389
378,5021.85245306389,5021.85245306389
379,5021.85245306389,5021.85245306389
380,5021.85245306389,5021.85245306389
381,5983.4432692327255,5997.911369092558
382,5681.007842559575,5683.989761800566
383,5021.85245306389,5021.85245306389
384,5347.719027060017,5347.719027060017
385,5021.85245306389,5021.85245306389
386,5021.85245306389,5021.85245306389
387,5021.85245306389,5021.85245306389
388,5074.416157955129,5074.816157955129
389,5210.165809907092,5211.7216855058305
390,5021.85245306389,5021.85245306389
391,5021.85245306389,5021.85245306389
392,5021.85245306389,5021.85245306389
393,5129.326309485096,5130.1263094850965
394,5549.038503577692,5550.638503577693
395,5021.85245306389,5021.85245306389
396,5383.4729830530305,5390.566319874414
397,5021.85245306389,5021.85245306389
398,5075.520735378294,5075.920735378294
399,5126.715490121251,5127.515490121251
400,5126.715490121251,5127.515490121251
401,5021.85245306389,5021.85245306389
402,5073.010332143827,5073.410332143828
403,5160.132972128354,5161.332972128354
404,5021.85245306389,5021.85245306389
405,5021.85245306389,5021.85245306389
406,5436.559655890542,5438.159655890542
407,5021.85245306389,5021.85245306389
408,5021.85245306389,5021.85245306389
409,5230.7218685369035,5232.321868536905
410,5326.203207847021,5339.46343491867
411,5021.85245306389,5021.85245306389
412,5838.793276906656,5841.193276906655
413,5230.119371760634,5231.719371760632
414,5290.857211584184,5291.257211584184
415,5021.85245306389,5021.85245306389
416,5021.85245306389,5021.85245306389
417,5164.594983786169,5159.363895063648
418,5464.798165254462,5480.77589970827
419,5021.85245306389,5021.85245306389
420,5021.85245306389,5021.85245306389
421,5021.85245306389,5021.85245306389
422,5209.896261938973,5224.021656732731
423,5021.85245306389,5021.85245306389
424,5180.758772149832,5181.958772149831
425,5021.85245306389,5021.85245306389
426,5021.85245306389,5021.85245306389
427,5123.903838498649,5124.703838498649
428,5217.067644801254,5218.800018005039
429,5021.85245306389,5021.85245306389
430,5021.85245306389,5021.85245306389
431,5168.948914406016,5170.189621134493
432,5021.85245306389,5021.85245306389
433,5021.85245306389,5021.85245306389
434,5021.85245306389,5021.85245306389
435,5728.697160758527,5728.986961785554
436,5021.85245306389,5021.85245306389
437,5261.420351818485,5278.162229167563
438,5176.641710845305,5177.841710845306
439,5110.273724674575,5124.277879037643
440,5112.19233433793,5121.964890389149
441,5021.85245306389,5021.85245306389
